region_code;ombudsman_index;ombudsman_rank
UD;2.5;1
KK;2.9;2
ME;2.9;3
KHA;3.1;4
KR;3.1;6
KAM;3.2;7
AL;3.2;8
IVA;3.2;9
MAG;3.2;10
MOS;3.3;11
SA;3.3;12
VLG;3.3;13
NEN;3.4;14
SAK;3.4;15
NGR;3.4;16
PSK;3.4;17
ORL;3.5;18
PRI;3.5;19
MOW;3.5;20
AD;3.5;21
KB;3.5;22
CHU;3.6;23
RYA;3.7;24
KGD;3.7;25
VLA;3.7;26
TVE;3.7;27
KGN;3.7;28
SPE;3.7;29
ZAB;3.7;30
KIR;3.7;31
CHE;3.8;32
CU;3.8;33
VOR;3.8;34
MO;3.8;35
LIP;3.8;36
SE;3.8;37
BA;3.8;38
TA;3.8;39
YAR;3.8;40
KHM;3.8;41
ULY;3.8;42
ARK;3.9;43
SVE;3.9;44
YEV;3.9;45
AST;3.9;46
ALT;3.9;47
KYA;3.9;48
KOS;3.9;49
PNZ;3.9;50
KO;3.9;51
KDA;4;52
KLU;4.1;53
VGG;4.1;54
PER;4.1;55
OMS;4.1;56
AMU;4.2;57
BU;4.2;58
LEN;4.2;59
TOM;4.2;60
TYU;4.2;61
CE;4.3;62
DA;4.3;63
YAN;4.3;64
MUR;4.3;65
KEM;4.3;66
NVS;4.4;67
BRY;4.4;68
SAM;4.4;69
TUL;4.5;70
SMO;4.6;71
ORE;4.7;72
TAM;4.7;73
BEL;4.8;74
TY;4.9;75
NIZ;5;76
KC;5;77
IN;5;78
KRS;5.1;79
ROS;5.1;80
SAR;5.1;81