region_code;opora_index;opora_2012_rank
MOS;3,17;1
CHE;3,02;2
SAM;2,96;3
BA;2,95;4
STA;2,93;5
KDA;2,92;6
TYU;2,91;7
BEL;2,88;8
LIP;2,85;9
KLU;2,84;10
MUR;2,83;11
RYA;2,81;12
OMS;2,80;13
ARK;2,79;14
CU;2,79;15
ORE;2,79;16
VLA;2,76;17
PER;2,73;18
TUL;2,73;19
TA;2,71;20
TOM;2,71;21
NGR;2,71;22
KYA;2,69;23
SVE;2,68;24
KGD;2,66;25
NVS;2,66;26
VGG;2,64;27
PRI;2,63;28
VOR;2,63;29
BU;2,62;30
YAR;2,60;31
ULY;2,60;32
IRK;2,60;33
LEN;2,59;34
SPE;2,58;35
NIZ;2,58;36
MOW;2,55;37
ROS;2,49;38
KHA;2,48;39